Total female entries: 96,320

Rank  Name          Number       95%     %-age  Cumulative
                    in Sample    Conf.          %-age
----  ----          ---------    -----   ------  ----------
 176            AGNESS     45 +- 13.1    0.05%  82.65%
 177           MALVINA     43 +- 12.8    0.04%  82.70%
 178          CATHERIN     42 +- 12.6    0.04%  82.74%
 179             HANAH     42 +- 12.6    0.04%  82.78%
 180             FLORA     41 +- 12.5    0.04%  82.82%
 181            ALVIRA     41 +- 12.5    0.04%  82.87%
 182                 P     41 +- 12.5    0.04%  82.91%
 183           JERUSHA     41 +- 12.5    0.04%  82.95%
 184           DOROTHY     41 +- 12.5    0.04%  83.00%
 185            LEVINA     41 +- 12.5    0.04%  83.04%
 186             ESTER     40 +- 12.3    0.04%  83.08%
 187               M.A     40 +- 12.3    0.04%  83.12%
 188                 %     40 +- 12.3    0.04%  83.16%
 189           ROSETTA     40 +- 12.3    0.04%  83.20%
 190             HETTY     39 +- 12.2    0.04%  83.24%
 191           MELVINA     39 +- 12.2    0.04%  83.28%
 192             DOLLY     39 +- 12.2    0.04%  83.33%
 193            ALLICE     39 +- 12.2    0.04%  83.37%
 194          MISSOURI     39 +- 12.2    0.04%  83.41%
 195           DELILAH     38 +- 12.0    0.04%  83.45%
 196            SYLVIA     38 +- 12.0    0.04%  83.49%
 197          MARIETTA     38 +- 12.0    0.04%  83.52%
 198           THERESA     38 +- 12.0    0.04%  83.56%
 199         MAGDALENA     37 +- 11.9    0.04%  83.60%
 200            MARIAN     37 +- 11.9    0.04%  83.64%
 201           JOHANNA     37 +- 11.9    0.04%  83.68%
 202             IRENE     36 +- 11.7    0.04%  83.72%
 203            ELENOR     36 +- 11.7    0.04%  83.75%
 204             ANNIE     36 +- 11.7    0.04%  83.79%
 205          FLORENCE     36 +- 11.7    0.04%  83.83%
 206             PEGGY     35 +- 11.5    0.04%  83.87%
 207            OLIVIA     35 +- 11.5    0.04%  83.90%
 208          ADELAIDE     35 +- 11.5    0.04%  83.94%
 209             DIANA     35 +- 11.5    0.04%  83.97%
 210           PAMELIA     34 +- 11.4    0.04%  84.01%
 211           MANERVA     34 +- 11.4    0.04%  84.04%
 212        TEMPERANCE     34 +- 11.4    0.04%  84.08%
 213            NANCEY     33 +- 11.2    0.03%  84.11%
 214           MIRANDA     33 +- 11.2    0.03%  84.15%
 215              MISS     33 +- 11.2    0.03%  84.18%
 216         CHRISTENA     33 +- 11.2    0.03%  84.22%
 217          VICTORIA     32 +- 11.0    0.03%  84.25%
 218           EVALINE     31 +- 10.9    0.03%  84.28%
 219            ROSANA     31 +- 10.9    0.03%  84.31%
 220             NAOMI     31 +- 10.9    0.03%  84.35%
 221            MARION     31 +- 10.9    0.03%  84.38%
 222           EMILINE     31 +- 10.9    0.03%  84.41%
 223           LETITIA     31 +- 10.9    0.03%  84.44%
 224           JULIANN     30 +- 10.7    0.03%  84.47%
 225            SALINA     30 +- 10.7    0.03%  84.51%
 226           CLARISA     30 +- 10.7    0.03%  84.54%
 227               IDA     30 +- 10.7    0.03%  84.57%
 228             CHLOE     30 +- 10.7    0.03%  84.60%
